54, 'Aurora', 'Colorado', 345803, '{"type": "Point", "coordinates": [-104.8235, 39.7082]}'
55, 'Anaheim', 'California', 345012, '{"type": "Point", "coordinates": [-117.7601, 33.8555]}'
56, 'Santa Ana', 'California', 334227, '{"type": "Point", "coordinates": [-117.8826, 33.7365]}'
57, 'St. Louis', 'Missouri', 318416, '{"type": "Point", "coordinates": [-90.2446, 38.6357]}'
58, 'Riverside', 'California', 316619, '{"type": "Point", "coordinates": [-117.3932, 33.9381]}'
59, 'Corpus Christi', 'Texas', 316381, '{"type": "Point", "coordinates": [-97.1734, 27.7543]}'
60, 'Lexington', 'Kentucky', 308428, '{"type": "Point", "coordinates": [-84.4584, 38.0402]}'
61, 'Pittsburgh', 'Pennsylvania', 305841, '{"type": "Point", "coordinates": [-79.9766, 40.4398]}'
62, 'Anchorage', 'Alaska', 300950, '{"type": "Point", "coordinates": [-149.8953, 61.2176]}'
63, 'Stockton', 'California', 298118, '{"type": "Point", "coordinates": [-121.3133, 37.9763]}'
64, 'Cincinnati', 'Ohio', 297517, '{"type": "Point", "coordinates": [-84.5064, 39.1399]}'
65, 'Saint Paul', 'Minnesota', 294873, '{"type": "Point", "coordinates": [-93.1039, 44.9489]}'
66, 'Toledo', 'Ohio', 282313, '{"type": "Point", "coordinates": [-83.5819, 41.6641]}'
67, 'Greensboro', 'North Carolina', 279639, '{"type": "Point", "coordinates": [-79.8271, 36.0965]}'
68, 'Newark', 'New Jersey', 278427, '{"type": "Point", "coordinates": [-74.1726, 40.7242]}'
69, 'Plano', 'Texas', 274409, '{"type": "Point", "coordinates": [-96.7479, 33.0508]}'
70, 'Henderson', 'Nevada', 270811, '{"type": "Point", "coordinates": [-115.0375, 36.0122]}'
71, 'Lincoln', 'Nebraska', 268738, '{"type": "Point", "coordinates": [-96.6804, 40.8090]}'
72, 'Buffalo', 'New York', 258959, '{"type": "Point", "coordinates": [-78.8597, 42.8925]}'
73, 'Jersey City', 'New Jersey', 257342, '{"type": "Point", "coordinates": [-74.0648, 40.7114]}'
74, 'Chula Vista', 'California', 256780, '{"type": "Point", "coordinates": [-117.0152, 32.6277]}'
75, 'Fort Wayne', 'Indiana', 256496, '{"type": "Point", "coordinates": [-85.1439, 41.0882]}'
76, 'Orlando', 'Florida', 255483, '{"type": "Point", "coordinates": [-81.2988, 28.4159]}'
77, 'St. Petersburg', 'Florida', 249688, '{"type": "Point", "coordinates": [-82.6441, 27.7620]}'
78, 'Chandler', 'Arizona', 249146, '{"type": "Point", "coordinates": [-111.8549, 33.2829]}'
79, 'Laredo', 'Texas', 248142, '{"type": "Point", "coordinates": [-99.4869, 27.5477]}'
80, 'Norfolk', 'Virginia', 246139, '{"type": "Point", "coordinates": [-76.2446, 36.9230]}'
81, 'Durham', 'North Carolina', 245475, '{"type": "Point", "coordinates": [-78.9056, 35.9810]}'
82, 'Madison', 'Wisconsin', 243344, '{"type": "Point", "coordinates": [-89.4301, 43.0878]}'
83, 'Lubbock', 'Texas', 239538, '{"type": "Point", "coordinates": [-101.8867, 33.5665]}'
84, 'Irvine', 'California', 236716, '{"type": "Point", "coordinates": [-117.7713, 33.6784]}'
85, 'Winston–Salem', 'North Carolina', 236441, '{"type": "Point", "coordinates": [-80.2606, 36.1033]}'
86, 'Glendale', 'Arizona', 234632, '{"type": "Point", "coordinates": [-112.1899, 33.5331]}'
87, 'Garland', 'Texas', 234566, '{"type": "Point", "coordinates": [-96.6304, 32.9098]}'
88, 'Hialeah', 'Florida', 233394, '{"type": "Point", "coordinates": [-80.3029, 25.8699]}'
89, 'Reno', 'Nevada', 233294, '{"type": "Point", "coordinates": [-119.7765, 39.4745]}'
90, 'Chesapeake', 'Virginia', 230571, '{"type": "Point", "coordinates": [-76.3018, 36.6794]}'
91, 'Gilbert', 'Arizona', 229972, '{"type": "Point", "coordinates": [-111.7422, 33.3102]}'
92, 'Baton Rouge', 'Louisiana', 229426, '{"type": "Point", "coordinates": [-91.1259, 30.4485]}'
93, 'Irving', 'Texas', 228653, '{"type": "Point", "coordinates": [-96.9700, 32.8577]}'
94, 'Scottsdale', 'Arizona', 226918, '{"type": "Point", "coordinates": [-111.8237, 33.6687]}'
95, 'North Las Vegas', 'Nevada', 226877, '{"type": "Point", "coordinates": [-115.0893, 36.2830]}'
96, 'Fremont', 'California', 224922, '{"type": "Point", "coordinates": [-121.9411, 37.4944]}'
97, 'Boise', 'Idaho', 214237, '{"type": "Point", "coordinates": [-116.2311, 43.5985]}'
98, 'Richmond', 'Virginia', 214114, '{"type": "Point", "coordinates": [-77.4760, 37.5314]}'
99, 'San Bernardino', 'California', 213708, '{"type": "Point", "coordinates": [-117.2953, 34.1393]}'
100, 'Birmingham', 'Alabama', 212113, '{"type": "Point", "coordinates": [-86.7990, 33.5274]}'
101, 'Spokane', 'Washington', 210721, '{"type": "Point", "coordinates": [-117.4166, 47.6736]}'
102, 'Rochester', 'New York', 210358, '{"type": "Point", "coordinates": [-77.6169, 43.1699]}'
103, 'Des Moines', 'Iowa', 207510, '{"type": "Point", "coordinates": [-93.6167, 41.5739]}'
104, 'Modesto', 'California', 204933, '{"type": "Point", "coordinates": [-120.9891, 37.6609]}'
105, 'Fayetteville', 'North Carolina', 204408, '{"type": "Point", "coordinates": [-78.9803, 35.0851]}'
106, 'Tacoma', 'Washington', 203446, '{"type": "Point", "coordinates": [-122.4598, 47.2522]}'
107, 'Oxnard', 'California', 203007, '{"type": "Point", "coordinates": [-119.2046, 34.2023]}'
108, 'Fontana', 'California', 203003, '{"type": "Point", "coordinates": [-117.4627, 34.1088]}'
109, 'Columbus', 'Georgia', 202824, '{"type": "Point", "coordinates": [-84.8749, 32.5102]}'
110, 'Montgomery', 'Alabama', 201332, '{"type": "Point", "coordinates": [-86.2686, 32.3463]}'
111, 'Moreno Valley', 'California', 201175, '{"type": "Point", "coordinates": [-117.2057, 33.9233]}'
112, 'Shreveport', 'Louisiana', 200327, '{"type": "Point", "coordinates": [-93.7927, 32.4670]}'
